name,slug,city,status,matched_polygon,score
6d Ranch,6d-ranch,Austin,HAS_POLYGON,6d-ranch,1.0
Acre Tract,acre-tract,Austin,HAS_POLYGON,acre-tract,1.0
Adirondack,adirondack,Austin,NEEDS_POLYGON,Adirondack Trail,0.769
Allandale,allandale,Austin,HAS_POLYGON,allandale,1.0
Allegre Montantial,allegre-montantial,Austin,FUZZY_MATCH,Allegre Monantial,0.971
Amanda,amanda,Round Rock,HAS_POLYGON,amanda,1.0
Amorron Park,amorron-park,Round Rock,HAS_POLYGON,amorron-park,1.0
Anderson Mill,anderson-mill,Austin,HAS_POLYGON,anderson-mill,1.0
Anderson Mill West,anderson-mill-west,Cedar Park,HAS_POLYGON,anderson-mill-west,1.0
Angel Pass,angel-pass,Austin,HAS_POLYGON,angel-pass,1.0
Angus Trail,angus-trail,Austin,HAS_POLYGON,angus-trail,1.0
Angus Valley,angus-valley,Austin,HAS_POLYGON,angus-valley,1.0
Apache Oaks,apache-oaks,Round Rock,HAS_POLYGON,apache-oaks,1.0
Apache Shores,apache-shores,Lake Travis,HAS_POLYGON,apache-shores,1.0
Appaloosa Run,appaloosa-run,Austin,HAS_POLYGON,appaloosa-run,1.0
Apple Springs,apple-springs,Leander,HAS_POLYGON,apple-springs,1.0
Aqua Monte,aqua-monte,Austin,NEEDS_POLYGON,Mira Monte,0.7
Arbor Place,arbor-place,Round Rock,HAS_POLYGON,arbor-place,1.0
Armstrong Point,armstrong-point,Lake Travis,HAS_POLYGON,armstrong-point,1.0
Arrowhead Acres,arrowhead-acres,Austin,HAS_POLYGON,arrowhead-acres,1.0
Arrowwood,arrowwood,Austin,HAS_POLYGON,arrowwood,1.0
Arroyo Doble Estates,arroyo-doble-estates,Manchaca,HAS_POLYGON,arroyo-doble-estates,1.0
Arts District,arts-district,Austin,NEEDS_POLYGON,District 53,0.667
Ashbrook,ashbrook,Austin,HAS_POLYGON,ashbrook,1.0
Ashton Oaks,ashton-oaks,Round Rock,HAS_POLYGON,ashton-oaks,1.0
Austin Hills,austin-hills,Austin,HAS_POLYGON,austin-hills,1.0
Austins' Colony,austins-colony,Manor,NEEDS_POLYGON,Austin City Lofts,0.625
Autumn Wood,autumn-wood,Austin,HAS_POLYGON,autumn-wood,1.0
Avalon Park,avalon-park,Pflugerville,HAS_POLYGON,Avalon,1.0
Avery Ranch,avery-ranch,Austin,HAS_POLYGON,avery-ranch,1.0
Avery Ranch Glenfield,avery-ranch-glenfield,Austin,NEEDS_POLYGON,Avery Ranch,0.688
Bagdad Estates,bagdad-estates,Leander,HAS_POLYGON,bagdad-estates,1.0
Balcones Oaks,balcones-oaks,Austin,HAS_POLYGON,balcones-oaks,1.0
Balcones Village,balcones-village,Austin,HAS_POLYGON,balcones-village,1.0
Balcones West,balcones-west,Austin,HAS_POLYGON,balcones-west,1.0
Balcones Woods,balcones-woods,Austin,HAS_POLYGON,balcones-woods,1.0
Bannockburn,bannockburn,Austin,HAS_POLYGON,bannockburn,1.0
Barker Hills,barker-hills,Manor,HAS_POLYGON,barker-hills,1.0
Barker Ranch at Shady Hollow,barker-ranch-at-shady-hollow,Austin,HAS_POLYGON,barker-ranch-at-shady-hollow,1.0
Barrinton Oaks,barrinton-oaks,Austin,FUZZY_MATCH,Barrington Oaks,0.966
Barton Creek Lakeside,barton-creek-lakeside,Lake Travis,HAS_POLYGON,barton-creek-lakeside,1.0
Barton Creek West,barton-creek-west,West Lake Hills,HAS_POLYGON,barton-creek-west,1.0
Barton Hills,barton-hills,Austin,HAS_POLYGON,barton-hills,1.0
Bastrop,bastrop,Texas,NEEDS_POLYGON,BERGSTROM,0.625
Bauerle Ranch,bauerle-ranch,Austin,HAS_POLYGON,bauerle-ranch,1.0
Bayview Arces,bayview-arces,Lake Travis,FUZZY_MATCH,Bay View Acres,0.889
Beacon Ridge,beacon-ridge,Austin,FUZZY_MATCH,Beaconridge,0.957
Bear Creek Place,bear-creek-place,Round Rock,HAS_POLYGON,bear-creek-place,1.0
Beby's Ranch,bebys-ranch,Lake Travis,HAS_POLYGON,bebys-ranch,1.0
