name,slug,city,status,matched_polygon,score
Adirondack,adirondack,Austin,NEEDS_POLYGON,Adirondack Trail,0.769
Aqua Monte,aqua-monte,Austin,NEEDS_POLYGON,Mira Monte,0.7
Arts District,arts-district,Austin,NEEDS_POLYGON,District 53,0.667
Austins' Colony,austins-colony,Manor,NEEDS_POLYGON,Austin City Lofts,0.625
Avery Ranch Glenfield,avery-ranch-glenfield,Austin,NEEDS_POLYGON,Avery Ranch,0.688
Bastrop,bastrop,Texas,NEEDS_POLYGON,BERGSTROM,0.625
Bellhaven,bellhaven,Austin,NEEDS_POLYGON,Bellview,0.706
Bergstrom Village,bergstrom-village,Austin,NEEDS_POLYGON,Reston Village,0.774
Berkeley Square Headway,berkeley-square-headway,Austin,NEEDS_POLYGON,Lakeline Square,0.579
Bluffs at Sandy Creek,bluffs-at-sandy-creek,Leander,NEEDS_POLYGON,Cliffs at Barton Creek,0.744
Cameron Industrial,cameron-industrial,Austin,NEEDS_POLYGON,Centex Industrial,0.8
Canyon Gate,canyon-gate,Austin,NEEDS_POLYGON,Canyon Glen,0.818
Casa Loma,casa-loma,Georgetown,NEEDS_POLYGON,Las Lomas,0.778
CCR,ccr,Austin,NEEDS_POLYGON,Coers,0.5
Cedar Park,cedar-park,Texas,NEEDS_POLYGON,Cedar Park Villas,0.741
Champion City Park,champion-city-park,Austin,NEEDS_POLYGON,Cameron Park,0.667
Chandler at Sunrise,chandler-at-sunrise,Austin,NEEDS_POLYGON,Chandler Creek,0.667
Cherry 1660,cherry-1660,Hutto,NEEDS_POLYGON,Cherry Hills,0.609
Chimney Corners,chimney-corners,Austin,NEEDS_POLYGON,Chimney Creek,0.786
Clearview,clearview,Georgetown,NEEDS_POLYGON,Clarksville,0.7
Cliffside,cliffside,Austin,NEEDS_POLYGON,Cliffview,0.778
Coldwater,coldwater,Austin,NEEDS_POLYGON,Coldwater Canyon,0.72
Comal Bluff,comal-bluff,Austin,NEEDS_POLYGON,Eagle Bluff,0.727
Cooper's Hill,coopers-hill,Austin,NEEDS_POLYGON,Cooper Mill,0.833
Country Club Acres Country West,country-club-acres-country-west,Georgetown,NEEDS_POLYGON,Country Club Creek,0.694
Crowley Crossing,crowley-crossing,Round Rock,NEEDS_POLYGON,Cherry Crossing,0.774
Crystal Knoll,crystal-knoll,Georgetown,NEEDS_POLYGON,Crystal Falls,0.769
Crystal Park,crystal-park,Round Rock,NEEDS_POLYGON,Central Park,0.75
Cypress Addition,cypress-addition,Round Rock,NEEDS_POLYGON,Cypress Canyon,0.733
Cypress Canyon Preserve,cypress-canyon-preserve,Cedar Park,NEEDS_POLYGON,Cypress Canyon,0.757
Cypress Creek Ranch,cypress-creek-ranch,Lake Travis,NEEDS_POLYGON,Cypress Creek,0.812
Daffin,daffin,Austin,NEEDS_POLYGON,Daffin Gin Park,0.571
Deepwood,deepwood,Round Rock,NEEDS_POLYGON,Delwood,0.8
Deer Run,deer-run,Round Rock,NEEDS_POLYGON,Deer Park,0.706
Deerfield at Brodie,deerfield-at-brodie,Austin,NEEDS_POLYGON,Deerfield Park,0.727
Deerwood,deerwood,Austin,NEEDS_POLYGON,Delwood,0.8
Del Web's Sun City,del-webs-sun-city,Georgetown,NEEDS_POLYGON,Sun City,0.615
Dripping Springs,dripping-springs,Texas,NEEDS_POLYGON,Dripping Springs Ranch,0.842
Eagles Glen,eagles-glen,Austin,NEEDS_POLYGON,Eagle Ridge,0.727
Eastridge Summit,eastridge-summit,Austin,NEEDS_POLYGON,Steiner Ranch Eastridge Summit,0.696
Eastridge Valley,eastridge-valley,Austin,NEEDS_POLYGON,Spring Valley,0.759
Ed Bluestein,ed-bluestein,Austin,NEEDS_POLYGON,Painted Bunting,0.593
Elmwood Park,elmwood-park,Austin,NEEDS_POLYGON,Lakewood Park,0.8
Esquel,esquel,Austin,NEEDS_POLYGON,Este,0.6
Estates at Edgewater Beach,estates-at-edgewater-beach,Lake Travis,NEEDS_POLYGON,Edgewater Beach,0.732
Estates of North Creek Ranch,estates-of-north-creek-ranch,Leander,NEEDS_POLYGON,North Creek Ranch,0.756
Estates of Rowe Lane,estates-of-rowe-lane,Pflugerville,NEEDS_POLYGON,Estates of Westlake,0.821
Estrella Crossing,estrella-crossing,Georgetown,NEEDS_POLYGON,Steeds Crossing,0.75
Flat Creek,flat-creek,Lake Travis,NEEDS_POLYGON,Lost Creek,0.8
Flint Valley,flint-valley,Lake Travis,NEEDS_POLYGON,Lost Valley,0.783
Flintrock at Hurst Creek,flintrock-at-hurst-creek,Lake Travis,NEEDS_POLYGON,Block House Creek,0.683
Forest Gabriel Park,forest-gabriel-park,Georgetown,NEEDS_POLYGON,Forest Park,0.733
Four Seasons Summer Section,four-seasons-summer-section,Austin,NEEDS_POLYGON,Four Seasons Fall Section,0.808
Four-T Ranch,four-t-ranch,Georgetown,NEEDS_POLYGON,South Ranches,0.72
Georgetown Country Club,georgetown-country-club,Georgetown,NEEDS_POLYGON,Country Club,0.686
Granite Bay,granite-bay,Austin,NEEDS_POLYGON,Granite Shoals,0.72
Green Square,green-square,Round Rock,NEEDS_POLYGON,Green Acres,0.783
Greenbury,greenbury,Manor,NEEDS_POLYGON,Greenbriar,0.737
Greenlawn Crossing,greenlawn-crossing,Round Rock,NEEDS_POLYGON,Georgetown Crossing,0.757
Hanson's Corner,hansons-corner,Hutto,NEEDS_POLYGON,Calhoun's Corner,0.774
Hatley Park,hatley-park,West Lake Hills,NEEDS_POLYGON,Avery Park,0.762
